MeterID,Zone,ConsumerType,Date,EnergyConsumed_kWh,PeakUsage_kWh,OutageMinutes,MeterStatus,TariffRate
MTR0080,North,Residential,2025-05-28,161,46.09,100,Active,8.63
MTR0081,South,Commercial,2025-02-28,364,103.2,105,Active,4.92
MTR0082,Central,Industrial,2025-10-19,666,162.48,89,Active,6.41
MTR0083,West,Commercial,2025-08-13,591,149.06,77,Active,5.14
MTR0084,West,Industrial,2025-01-11,543,111.15,83,Active,6.45
MTR0085,West,Commercial,2025-11-22,320,61.92,41,Active,10.5
MTR0086,Central,Commercial,2025-12-22,428,114.04,70,Active,5.12
MTR0087,Central,Commercial,2025-03-01,562,114.17,6,Active,7.03
MTR0088,East,Industrial,2025-08-15,823,118.17,36,Active,9.39
MTR0089,North,Residential,2025-11-19,254,55.66,70,Active,6.07
MTR0090,North,Commercial,2025-03-02,345,73.0,34,Active,7.88
MTR0091,East,Residential,2025-08-22,225,64.34,65,Active,5.46
MTR0092,North,Commercial,2025-08-01,489,83.58,38,Active,8.56
MTR0093,East,Residential,2025-08-17,239,52.42,69,Active,11.03
MTR0094,South,Industrial,2025-05-03,771,98.58,95,Active,10.89
MTR0095,East,Commercial,2025-12-06,311,44.39,75,Active,5.2
MTR0096,East,Residential,2025-09-27,228,63.1,19,Active,9.97
MTR0097,Central,Commercial,2025-11-16,604,165.15,109,Active,11.18
MTR0098,East,Industrial,2025-01-19,756,226.45,95,Active,11.35
MTR0099,North,Commercial,2025-03-27,285,75.04,37,Active,7.51
MTR0100,South,Industrial,2025-07-30,685,103.79,78,Faulty,8.84
MTR0101,South,Commercial,2025-10-26,380,77.03,85,Active,10.13
MTR0102,Central,Industrial,2025-10-07,976,290.63,38,Active,7.47
MTR0103,Central,Commercial,2025-06-04,439,71.42,73,Active,6.57
MTR0104,Central,Residential,2025-12-04,167,47.41,95,Active,10.83
MTR0105,Central,Residential,2025-11-07,174,40.33,86,Active,9.87
MTR0106,South,Industrial,2025-02-19,559,146.43,4,Active,9.63
MTR0107,North,Commercial,2025-06-17,335,87.63,112,Faulty,8.22
MTR0108,Central,Residential,2025-05-12,197,40.25,9,Active,11.27
MTR0109,East,Industrial,2025-07-07,527,114.14,58,Active,9.74
MTR0110,Central,Industrial,2025-07-15,619,126.81,79,Faulty,8.43
MTR0111,West,Residential,2025-11-28,114,27.0,14,Active,11.12
MTR0112,Central,Commercial,2025-03-01,367,69.71,47,Active,9.7
MTR0113,West,Commercial,2025-10-28,454,122.61,78,Active,11.16
MTR0114,North,Industrial,2025-07-09,965,264.39,12,Faulty,7.07
MTR0115,Central,Residential,2025-07-23,188,25.66,27,Active,8.68
MTR0116,North,Residential,2025-06-20,148,19.59,97,Active,8.6
MTR0117,South,Commercial,2025-03-17,249,74.14,69,Active,5.72
MTR0118,North,Residential,2025-01-08,192,23.59,33,Active,9.69
MTR0119,West,Residential,2025-02-02,246,55.81,57,Active,11.12
MTR0120,North,Industrial,2025-12-04,952,124.66,61,Active,7.48
MTR0121,North,Commercial,2025-12-31,308,70.68,8,Active,8.87
MTR0122,West,Industrial,2025-12-31,1158,200.43,64,Active,5.19
MTR0123,North,Industrial,2025-11-30,977,273.42,52,Active,7.67
MTR0124,East,Industrial,2025-02-18,832,155.9,19,Active,7.82
MTR0125,North,Residential,2025-02-17,186,40.95,75,Faulty,8.43
MTR0126,North,Commercial,2025-07-01,482,109.93,45,Active,8.05
MTR0127,South,Industrial,2025-09-04,885,124.5,35,Active,10.15
MTR0128,West,Industrial,2025-11-11,540,67.61,34,Active,6.66
MTR0129,Central,Commercial,2025-01-04,354,46.91,94,Active,4.71
MTR0130,West,Residential,2025-07-12,187,34.9,92,Active,11.09
MTR0131,West,Residential,2025-01-27,105,25.34,34,Active,7.47
MTR0132,West,Commercial,2025-08-01,354,64.47,14,Active,9.25
MTR0133,East,Industrial,2025-12-08,755,224.39,7,Active,6.61
MTR0134,South,Residential,2025-05-11,134,28.08,55,Active,7.16
MTR0135,South,Industrial,2025-10-14,891,176.88,58,Faulty,10.53
MTR0136,West,Commercial,2025-10-21,594,83.59,2,Faulty,5.7
MTR0137,West,Commercial,2025-12-20,288,47.17,75,Active,5.05
MTR0138,Central,Industrial,2025-06-23,661,140.06,14,Active,5.86
MTR0139,Central,Commercial,2025-11-27,368,61.12,22,Active,9.82
MTR0140,North,Residential,2025-11-18,243,58.95,112,Active,8.95
MTR0141,West,Commercial,2025-11-18,315,64.39,80,Active,6.42
MTR0142,North,Commercial,2025-09-17,445,56.41,47,Active,5.04
MTR0143,North,Industrial,2025-11-01,1023,298.47,94,Faulty,7.65
MTR0144,West,Industrial,2025-04-07,1031,151.72,7,Active,10.18
MTR0145,Central,Industrial,2025-02-13,661,108.8,56,Faulty,8.17
MTR0146,West,Residential,2025-07-06,207,53.7,86,Active,10.02
MTR0147,Central,Residential,2025-06-18,133,22.76,92,Faulty,11.25
MTR0148,West,Residential,2025-06-20,98,27.93,39,Faulty,9.39
MTR0149,East,Residential,2025-11-01,129,30.42,42,Active,9.19
MTR0150,West,Residential,2025-11-27,170,31.5,23,Faulty,6.89
MTR0151,East,Residential,2025-04-26,132,35.9,12,Active,8.28
MTR0152,West,Residential,2025-12-05,194,28.67,23,Active,9.9
MTR0153,South,Industrial,2025-08-13,883,260.07,78,Active,9.74
MTR0154,East,Residential,2025-10-01,145,27.0,73,Faulty,7.73
MTR0155,Central,Commercial,2025-09-15,469,123.92,17,Faulty,4.87
MTR0156,East,Commercial,2025-10-11,530,71.6,20,Active,10.84
MTR0157,South,Commercial,2025-02-16,463,90.14,50,Active,6.15
MTR0158,North,Commercial,2025-04-25,435,114.17,17,Active,10.92
MTR0159,East,Industrial,2025-03-13,1110,314.19,2,Active,10.34
MTR0160,West,Industrial,2025-11-08,629,102.39,15,Active,7.44
MTR0161,West,Commercial,2025-02-02,553,68.0,65,Active,9.53
MTR0162,Central,Commercial,2025-01-01,463,71.17,85,Active,11.32
MTR0163,North,Industrial,2025-10-06,1049,199.61,60,Active,7.21
MTR0164,Central,Commercial,2025-01-09,294,74.07,80,Active,8.57
MTR0165,Central,Residential,2025-01-23,172,46.35,87,Active,9.37
MTR0166,South,Residential,2025-02-02,202,25.83,25,Faulty,6.71
MTR0167,Central,Industrial,2025-07-23,743,189.91,24,Active,10.53
MTR0168,North,Industrial,2025-06-19,911,255.18,95,Active,11.2
MTR0169,Central,Residential,2025-09-12,221,58.39,93,Active,7.51
MTR0170,South,Industrial,2025-05-31,602,143.86,39,Active,9.52
MTR0171,South,Industrial,2025-08-16,568,131.02,55,Active,11.36
MTR0172,North,Residential,2025-12-10,288,76.09,86,Active,4.72
MTR0173,West,Industrial,2025-08-13,578,150.36,46,Active,11.15
MTR0174,North,Industrial,2025-03-20,916,235.74,73,Active,7.07
MTR0175,Central,Industrial,2025-05-23,529,111.0,49,Faulty,5.32
MTR0176,Central,Industrial,2025-08-17,834,130.13,17,Faulty,7.66
MTR0177,East,Residential,2025-12-16,149,32.63,37,Faulty,10.46
MTR0178,South,Commercial,2025-09-18,309,50.25,63,Active,8.38
MTR0179,Central,Commercial,2025-10-10,551,96.8,91,Active,8.18
MTR0180,East,Industrial,2025-02-07,1146,230.34,87,Active,5.4
MTR0181,West,Industrial,2025-10-28,987,280.24,7,Active,8.13
MTR0182,Central,Residential,2025-03-24,208,58.47,108,Active,5.87
MTR0183,West,Commercial,2025-03-06,453,61.98,82,Active,11.09
MTR0184,South,Residential,2025-12-04,224,60.15,3,Active,11.14
MTR0185,West,Commercial,2025-11-30,525,110.06,80,Active,8.99
MTR0186,Central,Commercial,2025-05-06,391,95.38,20,Active,7.89
MTR0187,South,Commercial,2025-11-07,434,128.28,16,Active,8.1
MTR0188,North,Commercial,2025-05-04,349,57.45,12,Active,11.12
MTR0189,West,Commercial,2025-05-08,437,67.37,20,Active,8.1
MTR0190,East,Commercial,2025-09-12,340,68.78,30,Active,6.97
MTR0191,North,Commercial,2025-09-11,624,106.98,1,Active,7.52
MTR0192,Central,Industrial,2025-07-07,577,74.55,71,Active,8.37
MTR0193,North,Commercial,2025-09-16,526,75.3,12,Active,10.06
MTR0194,Central,Industrial,2025-07-07,1161,223.2,5,Active,5.46
MTR0195,Central,Commercial,2025-09-23,371,53.85,119,Active,5.64
MTR0196,West,Industrial,2025-06-03,1064,229.63,90,Active,7.82
MTR0197,North,Commercial,2025-06-19,482,126.97,92,Faulty,8.9
MTR0198,West,Commercial,2025-05-16,555,138.67,74,Active,8.17
MTR0199,West,Commercial,2025-03-17,260,40.13,56,Active,5.56
MTR0200,South,Commercial,2025-09-14,488,104.12,71,Active,9.14
MTR0201,West,Commercial,2025-06-10,508,110.91,86,Active,9.55
MTR0202,Central,Industrial,2025-09-05,803,128.86,38,Active,9.43
MTR0203,East,Commercial,2025-09-03,552,78.35,86,Active,10.77
MTR0204,East,Commercial,2025-03-16,261,47.59,56,Active,9.73
MTR0205,South,Residential,2025-10-03,146,20.39,94,Active,6.2
MTR0206,West,Residential,2025-11-23,171,30.69,60,Active,9.9
MTR0207,North,Industrial,2025-03-22,1028,243.74,96,Faulty,6.75
MTR0208,North,Residential,2025-11-30,210,59.72,22,Active,10.36
MTR0209,North,Commercial,2025-09-11,379,65.84,77,Active,11.38
MTR0210,Central,Commercial,2025-11-25,515,140.69,59,Active,10.16
MTR0211,Central,Residential,2025-08-23,226,57.09,101,Active,9.22
MTR0212,South,Residential,2025-11-09,288,51.56,51,Active,5.79
MTR0213,South,Commercial,2025-06-15,282,45.8,96,Active,6.81
MTR0214,West,Industrial,2025-10-21,1195,292.41,7,Active,7.76
MTR0215,South,Commercial,2025-12-18,426,79.3,28,Active,5.43
MTR0216,South,Commercial,2025-11-07,502,128.67,102,Active,6.03
MTR0217,South,Industrial,2025-11-02,1004,247.66,9,Faulty,5.29
MTR0218,West,Industrial,2025-04-14,654,117.11,66,Active,9.26
MTR0219,West,Commercial,2025-02-16,516,74.17,53,Active,4.9
MTR0220,East,Industrial,2025-06-07,740,188.14,74,Active,7.47
MTR0221,North,Industrial,2025-01-31,548,106.09,98,Active,8.99
MTR0222,East,Commercial,2025-07-15,433,105.17,84,Faulty,5.43
MTR0223,Central,Residential,2025-04-02,213,53.47,28,Active,9.79
MTR0224,Central,Commercial,2025-12-11,495,132.76,31,Active,5.59
MTR0225,South,Industrial,2025-02-27,911,148.78,8,Active,4.74
MTR0226,West,Industrial,2025-12-27,576,114.63,69,Active,10.55
MTR0227,North,Residential,2025-09-15,174,38.97,98,Active,6.74
MTR0228,Central,Residential,2025-12-05,231,39.16,71,Faulty,10.66
MTR0229,South,Industrial,2025-12-14,993,292.95,120,Active,7.17
MTR0230,West,Commercial,2025-12-23,477,89.56,96,Active,6.19
MTR0231,South,Commercial,2025-12-29,519,152.69,71,Active,7.22
MTR0232,Central,Residential,2025-06-19,272,37.17,92,Active,4.86
MTR0233,East,Industrial,2025-11-06,578,153.08,75,Active,8.41
MTR0234,East,Residential,2025-06-20,161,47.2,15,Active,9.78
MTR0235,South,Industrial,2025-11-06,795,141.42,36,Active,8.24
MTR0236,Central,Commercial,2025-05-14,551,75.9,92,Active,10.38
MTR0237,South,Commercial,2025-06-10,281,71.21,2,Active,11.04
MTR0238,West,Industrial,2025-08-02,722,116.53,72,Active,8.0
MTR0239,Central,Commercial,2025-09-08,502,126.45,45,Active,9.54
MTR0240,East,Residential,2025-10-05,228,61.8,9,Faulty,9.18
MTR0241,North,Commercial,2025-03-12,367,44.64,64,Active,4.92
MTR0242,West,Commercial,2025-12-04,306,67.1,1,Active,9.56
MTR0243,West,Commercial,2025-01-09,597,83.14,12,Active,6.19
MTR0244,West,Industrial,2025-05-10,896,167.69,51,Active,6.2
MTR0245,South,Commercial,2025-12-17,568,77.72,48,Active,7.83
MTR0246,North,Industrial,2025-03-29,966,214.31,109,Faulty,10.76
MTR0247,North,Residential,2025-04-19,210,60.13,87,Faulty,10.8
MTR0248,West,Industrial,2025-01-17,522,117.8,96,Active,10.25
MTR0249,North,Commercial,2025-03-25,402,97.23,69,Active,9.79
MTR0250,South,Industrial,2025-02-10,546,108.48,107,Active,8.74
MTR0251,West,Industrial,2025-07-23,1163,303.59,57,Active,6.99
MTR0252,East,Commercial,2025-04-06,578,149.7,37,Active,9.49
MTR0253,North,Commercial,2025-03-20,603,106.73,13,Active,11.1
MTR0254,East,Commercial,2025-05-19,320,63.22,71,Active,7.36
MTR0255,North,Residential,2025-07-01,242,66.66,1,Active,7.21
MTR0256,North,Industrial,2025-10-14,1034,251.63,21,Active,6.61
MTR0257,East,Residential,2025-02-02,155,26.96,100,Active,6.26
MTR0258,South,Industrial,2025-11-17,1136,229.94,17,Active,11.14
MTR0259,Central,Industrial,2025-07-14,877,233.97,110,Active,8.66
MTR0260,Central,Commercial,2025-11-05,497,145.93,40,Active,9.36
MTR0261,East,Industrial,2025-05-05,817,151.72,119,Active,8.65
MTR0262,West,Residential,2025-12-16,226,44.96,37,Active,4.98
MTR0263,East,Industrial,2025-09-13,820,135.7,19,Active,10.02
MTR0264,North,Commercial,2025-11-03,596,125.87,117,Faulty,7.43
MTR0265,North,Commercial,2025-12-26,544,75.99,31,Active,6.99
MTR0266,West,Residential,2025-10-16,276,81.15,42,Faulty,7.51
MTR0267,North,Residential,2025-05-13,144,28.83,50,Active,9.26
MTR0268,West,Residential,2025-06-26,103,20.07,10,Active,11.08
MTR0269,South,Commercial,2025-06-09,529,109.46,60,Active,9.55
MTR0270,East,Commercial,2025-02-04,254,69.3,82,Active,10.1
MTR0271,South,Industrial,2025-03-31,872,255.08,29,Active,8.91
MTR0272,South,Industrial,2025-12-03,534,107.29,54,Active,9.43
MTR0273,South,Commercial,2025-12-27,593,91.12,41,Active,5.3
MTR0274,East,Industrial,2025-11-24,927,209.19,44,Active,7.71
MTR0275,South,Industrial,2025-12-28,1094,263.63,40,Active,6.64
MTR0276,South,Commercial,2025-12-22,544,123.68,73,Active,5.8
MTR0277,West,Industrial,2025-11-27,712,122.46,23,Active,7.66
MTR0278,North,Commercial,2025-01-05,348,102.13,64,Active,7.36
MTR0279,East,Commercial,2025-12-30,490,108.67,101,Active,6.54
MTR0280,Central,Residential,2025-10-03,196,42.91,14,Active,6.38
MTR0281,West,Commercial,2025-10-05,482,143.71,13,Active,9.08
MTR0282,South,Commercial,2025-01-17,375,74.64,15,Active,6.16
MTR0283,West,Industrial,2025-06-29,939,216.82,100,Active,5.95
MTR0284,North,Industrial,2025-06-29,1159,174.21,90,Active,8.51
MTR0285,West,Industrial,2025-02-18,575,158.74,16,Active,5.43
MTR0286,South,Industrial,2025-06-14,944,137.44,80,Active,7.4
MTR0287,East,Residential,2025-11-21,118,28.92,112,Active,11.15
MTR0288,Central,Industrial,2025-01-02,1175,320.8,101,Active,6.02
MTR0289,East,Residential,2025-09-11,171,37.37,16,Active,7.9
MTR0290,Central,Industrial,2025-01-25,1179,144.94,118,Faulty,7.59
MTR0291,North,Commercial,2025-04-14,582,161.44,112,Active,9.08
MTR0292,Central,Residential,2025-07-10,236,45.16,39,Active,9.79
MTR0293,East,Industrial,2025-02-16,759,101.73,75,Active,9.26
MTR0294,North,Residential,2025-12-23,163,33.58,29,Active,9.62
MTR0295,North,Residential,2025-06-10,202,52.36,96,Faulty,8.99
MTR0296,South,Residential,2025-09-29,225,44.82,92,Active,9.74
MTR0297,East,Industrial,2025-12-18,580,84.22,15,Active,7.19
MTR0298,East,Commercial,2025-03-13,381,62.74,76,Active,8.75
MTR0299,North,Industrial,2025-06-04,1166,179.51,50,Active,4.88
MTR0300,South,Commercial,2025-07-17,362,77.86,1,Faulty,11.04
MTR0301,South,Commercial,2025-10-19,439,112.95,98,Active,8.61
MTR0302,North,Commercial,2025-04-21,324,55.59,91,Active,7.41
MTR0303,East,Residential,2025-11-24,216,36.71,39,Active,10.95
MTR0304,South,Industrial,2025-06-17,1137,199.92,55,Active,10.43
MTR0305,North,Residential,2025-02-14,178,31.27,94,Active,5.73
MTR0306,North,Industrial,2025-03-12,1032,220.99,100,Active,6.31
MTR0307,Central,Residential,2025-05-18,144,24.33,8,Active,11.33
MTR0308,North,Commercial,2025-08-22,477,131.02,21,Active,6.29
MTR0309,North,Industrial,2025-12-12,1001,128.05,110,Active,4.82
MTR0310,Central,Commercial,2025-03-18,301,48.28,31,Active,9.54
MTR0311,Central,Residential,2025-10-20,161,24.52,102,Active,4.82
MTR0312,East,Residential,2025-08-27,143,31.4,1,Active,6.54
MTR0313,Central,Industrial,2025-11-15,920,275.63,99,Active,10.8
MTR0314,South,Residential,2025-01-04,233,42.49,107,Active,4.57
MTR0315,Central,Residential,2025-12-03,182,39.2,30,Active,11.23
MTR0316,South,Industrial,2025-05-24,783,152.18,114,Active,11.32
MTR0317,North,Industrial,2025-02-18,1182,157.76,72,Active,9.14
MTR0318,South,Residential,2025-05-30,167,29.6,34,Active,11.1
MTR0319,South,Industrial,2025-02-25,705,143.74,52,Active,7.01
MTR0320,South,Commercial,2025-06-07,376,55.79,87,Active,9.43
MTR0321,West,Residential,2025-04-21,174,51.21,50,Active,9.24
MTR0322,Central,Residential,2025-01-16,233,38.44,59,Active,10.06
MTR0323,North,Residential,2025-02-01,167,31.23,80,Faulty,5.09
MTR0324,West,Commercial,2025-02-08,319,84.75,11,Faulty,10.31
MTR0325,Central,Residential,2025-01-22,233,62.42,50,Active,7.18
MTR0326,East,Residential,2025-07-01,149,29.84,19,Active,8.83
MTR0327,South,Industrial,2025-06-01,1104,144.6,35,Active,7.43
MTR0328,West,Residential,2025-11-19,244,50.35,100,Active,10.89
MTR0329,West,Commercial,2025-07-18,362,82.35,3,Faulty,9.95
MTR0330,North,Commercial,2025-09-29,549,75.78,84,Active,8.24
MTR0331,North,Residential,2025-10-22,181,29.43,40,Active,9.38
MTR0332,West,Residential,2025-12-27,168,37.19,24,Active,10.17
MTR0333,East,Industrial,2025-06-08,529,68.83,77,Active,8.19
MTR0334,North,Commercial,2025-11-11,318,90.75,108,Faulty,4.92
MTR0335,South,Industrial,2025-12-27,1064,311.65,47,Active,9.13
MTR0336,West,Residential,2025-06-22,157,39.54,55,Active,11.22
MTR0337,Central,Residential,2025-12-29,231,55.39,104,Active,6.65
MTR0338,Central,Residential,2025-04-01,64,9.78,40,Faulty,11.27
MTR0339,South,Industrial,2025-10-17,666,169.27,30,Active,6.74
MTR0340,North,Industrial,2025-12-10,938,157.34,31,Active,6.95
MTR0341,North,Industrial,2025-01-01,981,288.84,113,Active,10.67
MTR0342,Central,Industrial,2025-07-12,1099,164.06,9,Active,4.73
MTR0343,North,Commercial,2025-05-14,288,80.59,20,Active,8.33
MTR0344,North,Commercial,2025-11-01,532,154.09,21,Active,7.54
MTR0345,North,Residential,2025-06-19,182,45.49,93,Active,9.12
MTR0346,Central,Residential,2025-02-19,142,38.51,19,Active,4.53
MTR0347,North,Commercial,2025-12-05,562,77.25,26,Active,6.54
MTR0348,North,Commercial,2025-03-01,495,139.13,33,Active,8.31
MTR0349,South,Commercial,2025-07-15,330,55.24,59,Active,10.36
MTR0350,West,Residential,2025-03-19,274,72.74,52,Faulty,8.63
MTR0351,West,Residential,2025-07-18,253,56.44,30,Active,5.05
MTR0352,North,Industrial,2025-10-20,1191,168.71,96,Active,11.14
MTR0353,South,Residential,2025-04-09,102,30.38,55,Active,10.26
MTR0354,South,Industrial,2025-05-13,618,136.05,70,Active,6.43
MTR0355,East,Residential,2025-12-25,272,38.15,19,Active,8.62
MTR0356,North,Residential,2025-10-16,129,35.86,33,Active,7.9
MTR0357,West,Commercial,2025-01-20,389,89.97,87,Active,4.77
MTR0358,Central,Industrial,2025-05-02,802,99.16,104,Active,6.68
MTR0359,East,Industrial,2025-12-17,655,193.46,56,Active,6.75
MTR0360,East,Industrial,2025-11-27,959,272.76,52,Active,9.82
MTR0361,Central,Residential,2025-09-21,164,31.59,99,Faulty,10.66
MTR0362,North,Residential,2025-04-09,115,23.25,117,Active,5.89
MTR0363,Central,Commercial,2025-09-16,558,91.26,62,Active,5.74
MTR0364,East,Industrial,2025-10-10,680,173.27,88,Active,4.69
MTR0365,North,Residential,2025-10-20,142,34.36,34,Active,8.09
MTR0366,North,Commercial,2025-03-09,319,51.13,77,Active,6.64
MTR0367,Central,Commercial,2025-07-12,492,100.37,86,Active,8.87
MTR0368,West,Residential,2025-01-04,226,39.26,13,Active,6.85
MTR0369,Central,Industrial,2025-06-16,1189,182.99,66,Active,10.8
MTR0370,West,Commercial,2025-12-05,581,138.26,37,Active,7.43
MTR0371,East,Industrial,2025-01-19,717,179.81,28,Active,8.97
MTR0372,East,Industrial,2025-07-03,677,117.04,60,Active,6.31
MTR0373,West,Residential,2025-12-15,173,31.82,95,Faulty,7.44
MTR0374,Central,Commercial,2025-05-14,395,80.86,110,Active,8.56
MTR0375,West,Residential,2025-08-30,157,33.81,52,Active,10.48
MTR0376,South,Residential,2025-06-25,182,32.2,91,Active,5.07
MTR0377,Central,Industrial,2025-04-01,539,108.54,26,Active,5.68
MTR0378,South,Commercial,2025-02-15,598,115.18,61,Active,4.76
MTR0379,South,Industrial,2025-07-11,1047,129.02,0,Active,6.24
MTR0380,Central,Commercial,2025-03-08,465,69.78,105,Active,11.14
MTR0381,East,Industrial,2025-09-24,880,246.26,17,Active,10.81
MTR0382,Central,Residential,2025-03-26,191,47.92,16,Active,4.65
MTR0383,West,Residential,2025-03-05,201,55.83,32,Active,8.86
MTR0384,West,Residential,2025-12-05,93,22.71,53,Active,5.37
MTR0385,Central,Commercial,2025-12-26,336,58.53,84,Active,8.14
MTR0386,West,Industrial,2025-12-25,652,162.59,15,Active,9.99
MTR0387,East,Residential,2025-11-08,136,25.08,52,Active,4.78
MTR0388,East,Residential,2025-12-19,183,22.38,11,Faulty,10.35
MTR0389,East,Residential,2025-02-16,222,52.39,58,Faulty,6.57
MTR0390,East,Residential,2025-02-21,150,39.64,40,Active,5.31
MTR0391,North,Residential,2025-03-12,271,49.96,56,Faulty,6.38
MTR0392,North,Commercial,2025-06-25,339,99.4,34,Active,9.33
MTR0393,East,Commercial,2025-11-29,294,87.22,108,Active,7.41
